,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,RoW,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
MT,26433080.565652847,24137751.697841644,25730240.940868378,94666776.49626684,847022908.261581,222457938.06099892,7140261.164505005,729558.7097091675,6608291.3825035095,105048289.29345608,54210117.569458246,7834539.194318771,49081034.40715599,415060889.58367014,244791909.58705854,118491876.59551191,119090894.47739434,19156571.110221863,18632958.12629509,31025103.110774517,66232255.21316147,7302458.212976456,105701983.40737772,430141524.2200825,77867478.40363121,13698211.031783104,0.0,104152723.47804093,452546433.32975864,139049268.51273155,2906204.6084251404,53921133.52515745,23075582.524528503,74922748.64809394,169947836.21036482,140775697.4891498,40551047.90104294,974303037.771255,162873629.3390429,2453678.56489563,1870825657.4949481,18872816.638711452,190859980.99563122,287988153.01265144,376130362.1785495,303231002.9578562,37991256.50913334,8379384.258682251,2662605818.6621323,208598531.65687442,49745515.840727806,808331373.732647
NC,135130975.06145668,3729703650.713784,2213370824.4641275,2585571692.366458,14393270615.31369,1741548147.1968412,1473487335.5300343,265643653.05845165,1388636598.4118452,16082503441.503138,19300006633.340897,125636309.88308716,1600728823.9846907,502405935.355525,10889856608.410667,10210956974.150936,1237022637.63933,4511120872.63323,1762425370.245472,3858509953.7573624,4443083151.737519,777876640.1730461,4693943314.464197,3007443717.632877,2815325276.398098,1756041337.8325894,730002035.0458355,0.0,667307662.209898,680865350.244175,594482632.5856647,5034629140.672844,379039087.7086253,1083769817.1108208,18732599593.473442,17315086017.00473,1517575649.900053,2001788434.397256,12021969584.968082,457615249.0517187,34580694169.55295,30207142733.72717,307453284.6651039,10260242008.811586,16317885556.297594,1041166243.6103773,23184178966.228836,309600216.9151523,3176093549.480315,3201933259.5791483,1450349374.8073854,389700339.0590725
ND,7883684.549528122,104619676.21611786,119899499.13758278,180202542.93242836,962148169.4687843,220289884.87976074,86446976.15961075,23132.799530029297,15020900.885757446,460015727.11382294,473697868.84597063,159468.99502944946,872912080.176033,219285687.11107635,1454494923.5181046,299394038.5621743,108559412.20866632,118305723.21007872,290316841.06272507,170346709.93645477,160390035.99323654,21939517.40473938,392374770.0493698,7289498732.735037,278277404.60606384,61583928.822128296,585817519.7376318,258904662.67890358,0.0,391646348.2736759,2868675.685405731,363200981.1909418,61994314.91069603,22581787.6864357,539324362.4466772,490892899.9434767,114786817.8043518,915895469.455822,387801258.66561556,1879007.9673843384,5897700596.909243,37972549.991378784,1562382102.0269842,147786589.29334164,1266664412.9910307,120532327.53634071,169998152.5261221,70479667.0256958,2947625933.589906,941370418.7053375,5504274.529750824,38498441.991292
NE,24148106.010967255,254069680.64042473,987418296.8771238,830695344.6416665,5495484532.405433,1893981385.1099954,252690042.80148983,22648181.365768433,37600553.77389145,1742580779.446757,1047871526.4856005,60276406.67414665,7384371230.898257,404683210.3000326,4276578527.4326825,1406145723.7853436,4588061627.313697,406480663.83314323,1082524038.7925625,494761750.037241,616865730.154252,228448020.1980343,1477175022.710515,1894798296.3467577,2781392394.873638,278713003.6170845,566865529.4673395,1141733208.6049945,1170339279.9853258,0.0,17595042.694699287,858441924.1065708,193836617.2203951,417159187.97278976,899612774.4594007,1365134656.2101603,736559228.7572894,895486897.7590759,1103528644.2897322,79140430.09862518,7465749571.804409,288587892.58417654,2240452952.252022,1049314962.9336557,6023585414.128262,669107451.7249861,396018821.0676079,53302254.400657654,1135543971.767251,1948285162.471417,55728614.12853336,439475373.0157566
NH,163596802.63752842,181238397.00513363,161754396.33102036,447832319.1612129,2430673282.564991,216626554.1510315,1418115428.9752107,124400025.90754604,321959778.2377796,968769042.9345949,906885916.630435,28458122.19692135,261489826.7679777,93376010.13758469,1309482299.1341403,708384105.2811317,134730020.85061884,598823935.6683416,132009596.58609867,7655535161.117171,1107065596.9846601,2239303733.657571,728894107.4097805,462611298.614696,279874637.1870887,127252441.27236462,52313220.260635376,691026627.1742525,34759942.4072361,88318827.99490547,0.0,1853911022.1457298,67158285.87095451,83751117.51253605,3400413778.6585593,1058909136.6309848,91353817.36353493,183372452.02519035,1104292479.3417618,898454853.686986,5372159325.557152,281686542.46140385,15187980.46177864,440137996.85660005,2535576784.6249514,173822695.283041,418289180.29419994,1231991465.4080353,280630971.76931,369153105.19197273,44750181.20918846,38361925.14319801
NJ,227476578.78708267,1581881433.1394472,1599737760.2734447,2232129974.550803,15648949698.36568,1409350749.555056,9027868687.398148,726369547.0137596,3894809256.930083,13091667114.533825,6167797459.59584,482743192.4760444,1084447644.8528624,401213940.70046425,8958332031.882294,5409719492.104658,1169659966.1778736,3498891506.007209,1918406737.522129,11338493421.603312,15124209065.323818,1229073469.9521475,4620463616.727777,1885649706.3838246,2562304469.090828,4531671816.768196,763981049.497633,9431641623.818272,431256124.3132725,630249722.6509838,1992968914.0791504,0.0,252720033.07079816,1031634431.341672,78019106120.25935,14350989199.104822,1143054342.6792195,1906797430.38562,47515489508.37826,1203348397.575634,36144501240.51635,3982100260.3046813,222229933.96853065,5525394906.003172,13406671804.251303,1318983692.9023933,8360987064.416125,1650708736.17585,2187823255.523817,2255861344.1559362,1047920325.1878252,235089154.51779366
NM,34589717.1582489,115667041.84595251,10503452.346054077,716806773.5219383,2262968243.3455586,1211527623.0022116,103379605.36928844,3534096.4665374756,1700975.13808918,404852313.6269407,113170343.74790955,8917487.21979618,11667852.333266258,75757370.53960228,335339134.8019104,81869581.26443863,160452350.48931503,147739443.82434464,31345360.457530975,97588281.92622185,44768607.0814476,9570187.278234482,139150751.49699736,129581642.09723473,472765906.6043811,50719543.230591774,21967113.46099472,48159286.93313217,14300313.075754166,46720308.76535416,15969898.951530457,63547936.99342346,0.0,41050956.13737488,149682185.03186464,202644937.40938377,41039276.499736786,696689466.5942612,202488376.85262966,3515940.5301570892,3708768146.2983227,37432352.73777962,12850423.677703857,670958123.9693832,4754613722.509102,170949329.71562862,58538055.70521927,11734811.561653137,61228317.02536774,332741515.11195946,13849461.557861328,92378186.05350494
NV,307352110.652061,122387639.54170036,86837160.7770052,1767337415.2384691,16557306696.967394,1003766066.7227592,89496594.67887688,17629299.89099884,73415629.73926544,1127129080.9509509,595719006.3266311,115990986.34604836,218559931.15915585,400153383.0878887,485685708.976166,171789142.36667728,286797367.4793267,300154041.4161625,113773003.29596424,298310251.4581175,282385802.0554404,46313022.00738907,613389884.4726987,233858528.61584187,205879956.80932045,189477445.69356823,430486517.1448214,293659588.8455162,81703926.39382744,89649371.17634201,123706642.58085155,260336672.7402376,182738746.78179455,0.0,598071482.1317047,514115322.7279872,350507408.5591588,1191536151.7509654,746658982.766799,4732070.525808334,12749320186.081669,144366029.45116997,45489399.03011322,405237027.9250188,3098595973.7085266,2167842834.0218883,268784262.645453,23983824.37821579,1990771345.214926,433352448.57968664,49450395.38513374,137077771.05116558
NY,449493995.93951607,3141587936.0172405,1627905728.8657854,2832184747.901641,23306827424.297043,2415207617.6135406,11168287385.47269,354683158.2008252,1372922425.257784,14181362427.058964,6914237440.689697,388687132.9580202,1952383430.3352017,971840009.4703045,11071050177.042894,5624197251.174534,1171830513.0287733,10264735502.92059,1419921462.3573446,15581540588.012241,4995396817.247871,2169012369.9278717,7417834659.159168,2868603257.6881285,2957405970.7317643,5307338308.393603,484281198.932665,7221400396.107885,971969402.4222162,565866473.7944124,2996166017.496789,50635456803.16418,542867713.9481342,1592160893.4520593,0.0,14458921621.891438,2139050149.3637736,2646221641.0057416,32068917468.334633,1911556104.1763806,80960415706.10913,4174072299.5477767,291774300.30928755,6262077634.541288,19147503305.070515,1398034006.6165648,5576700259.366413,3585381875.1644697,3674728701.726673,3917154123.637985,877664256.1605945,165047677.40204525
OH,169240639.26171303,5007446959.106696,2092062474.7102776,2294906891.9360733,16925491463.240396,2607417557.912819,2684937133.1983347,298774542.1633997,591571488.4178867,10106428087.32193,10185690465.921627,424435582.52952385,3046743545.0436354,331978099.5589218,27161536205.60187,34149859888.923943,4674375101.557651,23108901153.935257,2725593664.82243,3867083834.1911736,6103648520.619303,1051034755.4656725,41374696380.06886,4862406264.476501,6979649767.629365,2734606782.584076,1537493694.330472,8966673201.585754,1205363884.8486326,1864130801.867239,1058724642.7930632,9357224343.902786,682348537.9654045,826286376.8396149,13418165230.715054,0.0,4800459136.724827,1372848297.2429876,30476503814.133045,405094086.15528584,50944989749.385345,4276949815.2749596,395481762.2051902,11100709836.739023,22556792258.935913,1589987451.1153226,9990796040.514727,267851042.96841812,3412985195.485755,8804020154.762484,7186463937.279906,176926281.9193821
OK,14475212.665203094,827325530.0270195,3334542859.394374,1017094018.6391175,5168703710.613575,1650590430.6741037,168526675.46307564,3912326.0487480164,89060755.7867322,1668930653.9357748,1368542318.5830138,33130532.50474167,859604298.6113801,219624465.6390705,2368219595.4399858,872053436.4302654,4134778450.3694277,529294532.3808632,2336158495.9206944,238425509.21917534,493849766.51866436,316377838.8315487,1508826609.859772,702527568.0143175,2327082795.817128,525928906.6159649,452773436.90450335,1112112233.5825567,393716911.49158,648885343.5471001,64915640.14578819,767919777.7552919,719582611.3001528,295306138.55742645,1160233167.6940901,1541864278.8500307,0.0,404008941.6700306,1629190317.1354291,7941911.9643268585,5498608078.530248,695323523.6044312,87093751.71451569,1580403542.2814095,25468737153.62122,329708362.14705753,561407022.4065142,143558165.4241104,1771470847.5659046,889578809.0618548,210528888.47737885,349048949.0633869
OR,465358883.33772945,748628155.2380929,75706603.42825985,2416982208.583021,16174057550.627296,1068995697.886179,503552785.19067097,21774049.92641449,27586007.12023449,1403760462.1300738,934575224.8298368,297992214.2107449,595884355.772999,3386891274.0513678,2251702733.6381335,868193146.1811962,325611122.1622858,655115837.2932701,358973974.5889044,713269725.8684082,535041464.48384666,139572156.8805027,1007000625.0737199,865361017.948566,775719987.3333526,229857184.0133295,1400872302.2020433,1082889680.4895892,268216170.2735122,187180893.52488407,59229024.21163559,821528335.8681812,235320214.14160728,1019770564.04091,1574148870.7188735,1454312531.6457005,343716460.40528965,0.0,1156153018.327125,14159406.815579414,22481494502.63665,552163670.6085081,135342547.65779904,5351670765.963755,3073951801.369931,1460583641.1608906,698265074.8759308,83802970.7743721,29528176037.56655,711503973.5543311,98469878.10006142,196405956.3091054
PA,818819370.45681,2773948945.228465,1576977272.8602684,2988071491.6277657,15770752079.239002,4102471419.0411863,7680324044.268772,1302270526.1725998,4494823650.513188,12854285985.769186,9105451693.588501,295603118.15608215,2488271963.075226,699022702.1143868,12309071842.76161,10188460637.76562,1920934498.710247,6971075295.488716,1639351098.788358,12127258928.86194,22765779463.828663,4465197746.902702,8676017130.966286,2468746260.9047847,5265185534.416167,5607611932.180616,834197641.5935507,13094468546.77259,514015600.5398445,1142588390.2856178,2552033378.9026294,58415974416.93119,394525832.8691349,1153311348.229516,65170616370.35113,34630796515.98372,2228791915.725634,1601151786.4814625,0.0,1121962961.7175202,40929832433.29468,7628423773.183902,465952455.3188529,5324617261.540135,16481256276.490257,2597615746.9376945,17057149077.20958,1254033307.0051203,3358904882.393087,4231808520.112489,11525235387.861052,374384032.8597717
RI,53946300.42206383,383590572.0300379,164495508.0549698,339694198.4513531,1084136319.5337315,177516407.44637108,4600785722.388283,17390788.75692749,26225655.54853058,1141835530.4020395,484356988.25847244,25020839.79984188,123035669.80154228,29852555.146427155,666756840.9711118,282232659.7499304,109238592.63326645,263408018.42619705,146671262.53044128,12588636874.277369,256879695.17222023,541599975.4105091,491360629.35098267,178355536.6787567,220594836.1131878,42411542.46826553,28803023.93369484,375566752.63734674,21246212.8664093,78115298.40109634,1250669642.7558813,1609785239.984519,189018333.44906998,47841778.56198311,2463418157.935038,933521029.8963976,78953065.00476074,247640277.80281448,966880945.3404217,0.0,2504646042.499013,324114870.10497,62569347.70839691,287190631.9609928,1557951174.2910404,191852062.64787102,546516451.1300716,508203015.6507416,179503138.57478285,320414391.4980602,22003200.895626068,16282396.868473053
RoW,1697894134.3097248,22044554682.588676,9225232787.105896,18884778574.082153,434368502098.8573,10857368561.528542,16671901470.38424,468637169.07030904,7551006080.988074,72288006100.79419,90417542488.44815,7310512730.426067,8993254973.9065,5501678178.401897,129099157338.39243,59118909228.6131,11604256483.291626,48029143286.71881,37182856589.62978,33329385765.6171,32231852032.006413,2857274727.4854045,138051416047.70734,29856139400.809303,17944715195.725845,17361602872.03576,4447927162.990788,46701356996.535095,2684132084.7544117,3687151223.7315764,11246153516.466087,111818232174.02042,2218870198.4714136,12121724202.049839,118471047258.00621,68128143406.33951,11995692555.232206,17171405780.880188,82158022258.61453,9378772962.521587,0.0,37284300316.88176,1073835045.9956565,77438629628.8343,262177900366.9808,13725274730.153118,28687736718.842262,2890283094.1372085,48609696642.2549,27932727519.478355,3302034837.1739964,1706871151.8666244
SC,14726694.754625559,4390704617.7756,1338185859.9340377,1134985030.978642,5690640276.369315,568414952.4500217,988708309.048507,207829292.76023817,381510837.28143835,9195898521.288021,25969847496.38066,17626043.729782104,800995551.4476423,103624128.10868049,4279160680.2877884,2979383058.2370734,445663913.7258377,3697051261.1019487,1026148467.6945567,1755925541.7854404,2337130044.4347734,464520052.3103752,3410070991.666318,1490110496.2454438,1992659035.6561198,1178001635.5781503,165665139.44656754,19482721114.76498,476153445.8934431,289595275.38273525,258622293.88538504,2286532281.2558203,254496017.8980863,494713138.9447751,4059365883.7831473,4301098728.2087,749599304.3462286,464721461.25772095,4437506146.451442,158462180.64704037,32963985011.842155,0.0,98613799.5762024,7261925192.730474,11741388878.087597,612213529.0565033,4187544229.6405897,227911815.9150877,922279604.5213861,1663533355.510437,949221391.2517929,60499164.02353859
SD,5506003.166942596,245806613.98058033,176702680.1659565,193491501.30444193,1049426558.4637055,389969654.9288621,40185628.50217819,3896342.9862594604,20409458.563799858,203879182.37423515,350168784.5888581,2706164.0623435974,2927116015.5094805,93311297.21493912,1109539825.4596362,198457093.81890774,399513221.240428,187404333.96891165,51792398.71931648,133529581.2634201,70953863.58586407,27684156.459039688,400607354.5030241,3005350075.110743,277849656.50506544,101218845.35397339,520586123.30478,352689945.8540287,1586074075.574235,1131392589.1214027,30427878.974485397,233449567.06741524,40209726.80898476,73191758.7407093,196380465.78560352,324194514.690917,101163416.42995596,231537682.23784828,431971770.2126827,10503274.489128113,1463369190.0730991,51499336.5751071,0.0,452643739.05246735,1595230408.513113,114721588.3537612,297723503.2814121,9426646.921761513,1911096301.9073553,932463134.6514812,13913121.835102081,451073193.14455605
TN,115881208.05435562,12760973255.94319,10686781885.393724,1866609201.4085538,16051006428.560326,1995498370.0860085,2165972511.1929636,95055173.59986115,1091515911.365841,15460500739.38266,33459706174.45404,257321923.41148472,2428236274.8450046,629595280.87044,10321881313.851969,8702269761.855541,2608216220.4054875,17559867051.978317,7033882468.592754,2255628430.297617,2683927189.718422,479373744.1512239,11288727282.878304,3570983802.270135,6951942688.842129,15689264248.612259,1224831448.2406635,10652193270.896177,721175312.7733183,1079231466.307644,386819123.1665802,6788878346.287434,634655451.7289238,1458175126.4457526,8415216710.425221,11029286238.399319,2305757580.1548953,1462653300.2526774,8818621869.457678,463316453.7775364,34222915485.41544,9520138172.34221,364811717.2529192,0.0,23154359687.93979,903407646.2559371,7993935326.800826,174994956.61123276,1434521127.0690632,4441527655.180818,1694547454.3846426,170259531.5667343
TX,651818906.5381551,7229586489.539952,11174482215.150225,11739850962.09387,46157260240.44171,12283895078.264193,4310749751.545465,180119407.11693382,548942416.6483788,23038975614.90082,17270818218.99797,583191284.0019112,3967378728.0940237,1137031204.8567538,19258613432.44593,9548162373.815237,9296874326.954962,7853528482.957559,38607050888.258446,5864515441.622629,3403438860.412695,614836291.2423267,15603272271.022005,5019356618.8053055,11579718905.740456,9036759283.804508,2688750625.3210154,8343995380.381875,4367509860.276029,3778615334.0095134,512173160.36576843,8068222674.964571,12221161875.08131,5051961065.511868,9417620677.704462,17712549918.86902,37785180834.39425,3105138910.431258,11628965173.545982,374616079.32586575,273150950571.8595,8712980462.553984,638613281.9735084,15743122360.854158,0.0,11041660676.141792,5511338927.664708,323517169.95571613,6702353722.855535,5452178295.1694145,1992294876.1449933,1668826298.495618
UT,98624420.55124283,652802000.0468905,274238858.7512908,2846614902.5045605,14487823179.13035,4449705034.580933,269938354.3545828,20297387.21317482,110447829.88245583,1922525701.4889224,1858413058.3874779,81558208.41236973,907669103.3518149,6043362626.817387,2813126450.9734936,2073125365.3690925,467262073.0277495,1023817364.7380352,211865260.4983654,592535604.2659812,481444572.25889397,53726333.048648834,1753714003.4572632,1171155496.635706,1258072895.6401386,223477890.60812664,3469071955.322379,1419765675.7184215,252902409.83210564,611764268.7353401,102520257.82647324,643974050.316299,330278196.3823798,3396772672.9739256,1707257316.551484,1386378076.639854,449443646.76813436,1712872874.7126505,1811315043.462359,59030856.009241104,12125509111.832806,632410013.7644866,144529418.26986074,3377330872.439938,6828021974.939577,0.0,784866469.4853382,106692002.39608955,2892015876.9901657,951950822.6183121,73759708.76968431,1497534113.1868138
VA,36523514.332344055,1862817543.359015,726558477.3580179,660069285.1429601,5451982708.9560375,790353074.9499187,1377673442.9083319,6619397214.852001,1815890706.4964633,5140496572.22958,5368312921.5428095,110748548.34972,769150165.0967646,146411249.75821304,4577083292.857792,2676434282.857874,850779132.9317498,2452563021.0475006,823220156.2252698,3160972795.4479475,16869091637.804218,641421016.3468094,2975613165.404868,889137287.2755451,1350821841.2927394,687716155.8463297,284183739.86077976,16862106279.164448,260696557.50634384,348346175.405715,416798019.9293165,4751525157.0848465,255236929.0911064,570473607.3245745,8936956617.388756,7424204071.351965,454497700.0070672,453479506.9789076,12331889065.524323,474428579.689188,17895426220.33628,4079823341.456535,158432992.2396717,4032836575.7124443,6598310266.318964,791431659.6335468,0.0,107039787.90730572,1060047756.5421891,1571922964.3242826,3622133892.375513,62211482.85634136
VT,2843575.4274787903,148568225.28048325,41225429.15334129,92651103.64221764,679347726.5985956,118272490.36414337,406945659.9868808,7451293.721057892,9979453.268054962,421730694.1665964,675344731.4994726,3312056.4481258392,164029652.70809174,41096526.667933464,698418189.9550095,142889933.33944988,100583523.30873775,51168434.23928833,43158964.77326012,1334608207.569623,862635122.3867102,582898346.6894171,372663626.0858917,134318960.49426174,168068878.12351608,28127299.190977097,24593476.99661064,316926314.787076,18771016.989761353,40631481.63579559,1006446926.5104239,1469451876.4498396,35008207.97754288,282545861.62204266,3346830368.975711,627509699.6968188,39509582.4669981,91517193.75771904,1094006293.6703286,64269216.52260876,2818760281.36047,210531547.96163368,18404673.55546379,730154918.0217876,745558272.4474535,66609304.9299345,274141993.98659706,0.0,260036178.2609253,260319257.6768856,47790326.9587307,5360060.298755646
WA,8768275661.30776,635767643.143281,251270790.99398613,2209615477.185577,22218518261.36612,2937478843.801301,2577480991.939554,463268694.74082947,96430269.3952446,5969043376.195549,1773198028.96701,572820992.7469225,871618407.3408635,6661928370.593374,7037514974.380623,1488760617.2037106,1551288148.763349,3710904990.44633,380987291.41433716,1299728862.4402552,1979781373.225371,234130213.0890236,2698904027.013974,2185841227.037469,729270770.8707194,280750181.7334883,6577494925.3071165,1486220923.2552829,487331374.8898549,350267253.8252444,163517197.17156124,4048849816.1872997,391458092.9644413,1647731387.6006327,3824429521.876785,2292384965.7157526,818365200.3131304,28188967870.991917,2657360568.48638,142585750.31596947,87532585970.71764,1251332778.4706225,175298061.2014103,7141997531.356786,14852057266.261116,2268539564.0182486,1615390899.0063162,174139312.80022812,0.0,1026349040.1721988,307331586.83992004,509114798.29030323
WI,75622359.91227531,2035634587.758397,1492550630.4830284,1770921703.2666569,11460462508.500656,1905343078.3503158,1488302446.8791957,80498543.69505024,249914797.94495583,6337933302.512532,5183997195.415749,108594086.64497375,6919360275.722124,893983073.0272956,37013843700.183464,8958275735.896473,1889296819.4106736,2702629549.6835365,1045970521.9980686,2805115090.025014,6094822454.399405,334243311.09554195,12280141952.451777,17780592066.20467,5238694285.015237,862066512.0641451,920671660.541872,3248627487.487544,2117356115.9350283,1869760939.3588395,448911221.8685918,4926481059.337268,296625820.95514846,911049456.6308556,6793894963.769723,7841679105.903867,1289836117.8232489,1526054807.6451669,8923738203.724648,291439552.12755585,23680264728.36773,1938577021.034597,1757709463.6580582,4414307885.841358,12818280294.841352,1306578644.8854134,2986736538.626759,188647739.12404633,3400457062.6177926,0.0,483769973.08366966,154758055.02858353
WV,8173392.983646393,173984447.63937378,102604193.04395199,132416710.94724274,775892238.0328574,88096813.38122463,107044798.84348774,30760581.163557053,84397144.63588238,307082423.7178364,734763896.2789488,335422.89070272446,38167329.68209696,13302744.73252678,823558287.01574,1595187231.378705,113448316.41046,1574668218.1514077,223613268.86915445,282260922.8143978,2305711780.1448417,136076570.0979185,2768875582.7781367,181329304.56505108,270491894.5351343,535923340.82960796,33405057.244324684,3871985957.7253857,9178829.177650452,75197501.34878731,60280308.419073105,600690260.3883848,8145030.420692444,31893751.085892677,1015686868.9413071,6673362007.459799,135040446.90690517,58090732.76727438,4996617338.693039,18929955.481061935,7230092936.913743,320216716.6433896,7840155.554992676,746690254.83707,1657703148.9212031,49269393.89723015,3715873551.6423163,61333921.374506,165472956.1829133,417122474.0724678,0.0,14883852.32266426
WY,2532764.693716049,90122165.49601555,184661142.7171564,124911223.63998032,460947232.22334623,2736563511.453652,7488448.832428932,0.0,1161359.6953430176,43640006.02542257,86487414.24190235,684777.5892944336,229556355.1452303,165251270.0007944,399937184.418807,239954494.87786388,267317689.59154797,113829341.33540535,149203754.56858635,13368821.95917511,8964181.907129765,3802343.1507110596,269868126.1257405,219270650.3370571,636757262.1738634,6140651.402801514,564563688.8672061,100901730.6761465,221296280.97241354,284540936.5410013,5768091.500822067,40950366.81671429,110505513.35090446,105168949.16838455,72652639.55930519,169190788.0637045,176941141.54856682,307190927.41992044,192923799.26993752,599563.9835968018,1231545761.8444152,8455183.919765472,150690296.31477547,70974882.53658009,1371153280.859591,612394141.8884249,17446791.771265984,8116991.4949646,226165513.6473899,348457078.4342675,14295619.146129608,0.0
